Company,Product,TypeName,Inches,Ram,OS,Weight,Price_euros,Screen,ScreenW,ScreenH,Touchscreen,IPSpanel,RetinaDisplay,CPU_company,CPU_freq,CPU_model,PrimaryStorage,SecondaryStorage,PrimaryStorageType,SecondaryStorageType,GPU_company,GPU_model,Price_Category,Price_per_kg
apple,MacBook Pro,Ultrabook,13.3,8,macos,1.37,1339.69,Standard,2560,1600,No,Yes,Yes,Intel,2.3,Core i5,128,0,SSD,No,Intel,Iris Plus Graphics 640,Premium,977.8759124087591
apple,Macbook Air,Ultrabook,13.3,8,macos,1.34,898.94,Standard,1440,900,No,No,No,Intel,1.8,Core i5,128,0,Flash Storage,No,Intel,HD Graphics 6000,Mid-Range,670.8507462686567
hp,250 G6,Notebook,15.6,8,no os,1.86,575.0,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620,Mid-Range,309.13978494623655
apple,MacBook Pro,Ultrabook,15.4,16,macos,1.83,2537.45,Standard,2880,1800,No,Yes,Yes,Intel,2.7,Core i7,512,0,SSD,No,AMD,Radeon Pro 455,Ultra-Premium,1386.5846994535518
apple,MacBook Pro,Ultrabook,13.3,8,macos,1.37,1803.6,Standard,2560,1600,No,Yes,Yes,Intel,3.1,Core i5,256,0,SSD,No,Intel,Iris Plus Graphics 650,Ultra-Premium,1316.4963503649633
acer,Aspire 3,Notebook,15.6,4,windows 10,2.1,400.0,Standard,1366,768,No,No,No,AMD,3.0,A9-Series 9420,500,0,HDD,No,AMD,Radeon R5,Budget,190.47619047619048
apple,MacBook Pro,Ultrabook,15.4,16,mac os x,2.04,2139.97,Standard,2880,1800,No,Yes,Yes,Intel,2.2,Core i7,256,0,Flash Storage,No,Intel,Iris Pro Graphics,Ultra-Premium,1049.0049019607843
apple,Macbook Air,Ultrabook,13.3,8,macos,1.34,1158.7,Standard,1440,900,No,No,No,Intel,1.8,Core i5,256,0,Flash Storage,No,Intel,HD Graphics 6000,Premium,864.7014925373135
asus,ZenBook UX430UN,Ultrabook,14.0,16,windows 10,1.3,1495.0,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,512,0,SSD,No,Nvidia,GeForce MX150,Premium,1150.0
acer,Swift 3,Ultrabook,14.0,8,windows 10,1.6,770.0,Full HD,1920,1080,No,Yes,No,Intel,1.6,Core i5 8250U,256,0,SSD,No,Intel,UHD Graphics 620,Mid-Range,481.25
hp,250 G6,Notebook,15.6,4,no os,1.86,393.9,Standard,1366,768,No,No,No,Intel,2.5,Core i5 7200U,500,0,HDD,No,Intel,HD Graphics 620,Budget,211.77419354838707
hp,250 G6,Notebook,15.6,4,no os,1.86,344.99,Full HD,1920,1080,No,No,No,Intel,2.0,Core i3 6006U,500,0,HDD,No,Intel,HD Graphics 520,Budget,185.4784946236559
apple,MacBook Pro,Ultrabook,15.4,16,macos,1.83,2439.97,Standard,2880,1800,No,Yes,Yes,Intel,2.8,Core i7,256,0,SSD,No,AMD,Radeon Pro 555,Ultra-Premium,1333.3169398907103
dell,Inspiron 3567,Notebook,15.6,4,windows 10,2.2,498.9,Full HD,1920,1080,No,No,No,Intel,2.0,Core i3 6006U,256,0,SSD,No,AMD,Radeon R5 M430,Budget,226.77272727272725
apple,"MacBook 12""",Ultrabook,12.0,8,macos,0.92,1262.4,Standard,2304,1440,No,Yes,Yes,Intel,1.2,Core M m3,256,0,SSD,No,Intel,HD Graphics 615,Premium,1372.1739130434783
apple,MacBook Pro,Ultrabook,13.3,8,macos,1.37,1518.55,Standard,2560,1600,No,Yes,Yes,Intel,2.3,Core i5,256,0,SSD,No,Intel,Iris Plus Graphics 640,Ultra-Premium,1108.4306569343064
dell,Inspiron 3567,Notebook,15.6,8,windows 10,2.2,745.0,Full HD,1920,1080,No,No,No,Intel,2.7,Core i7 7500U,256,0,SSD,No,AMD,Radeon R5 M430,Mid-Range,338.6363636363636
apple,MacBook Pro,Ultrabook,15.4,16,macos,1.83,2858.0,Standard,2880,1800,No,Yes,Yes,Intel,2.9,Core i7,512,0,SSD,No,AMD,Radeon Pro 560,Ultra-Premium,1561.7486338797814
lenovo,IdeaPad 320-15IKB,Notebook,15.6,8,no os,2.2,499.0,Full HD,1920,1080,No,No,No,Intel,2.4,Core i3 7100U,1024,0,HDD,No,Nvidia,GeForce 940MX,Budget,226.8181818181818
dell,XPS 13,Ultrabook,13.3,8,windows 10,1.22,979.0,Full HD,1920,1080,Yes,Yes,No,Intel,1.6,Core i5 8250U,128,0,SSD,No,Intel,UHD Graphics 620,Mid-Range,802.4590163934427
asus,Vivobook E200HA,Netbook,11.6,2,windows 10,0.98,191.9,Standard,1366,768,No,No,No,Intel,1.44,Atom x5-Z8350,32,0,Flash Storage,No,Intel,HD Graphics 400,Budget,195.81632653061226
lenovo,Legion Y520-15IKBN,Gaming,15.6,8,windows 10,2.5,999.0,Full HD,1920,1080,No,Yes,No,Intel,2.5,Core i5 7300HQ,128,1024,SSD,HDD,Nvidia,GeForce GTX 1050,Mid-Range,399.6
hp,255 G6,Notebook,15.6,4,no os,1.86,258.0,Standard,1366,768,No,No,No,AMD,1.5,E-Series E2-9000e,500,0,HDD,No,AMD,Radeon R2,Budget,138.70967741935482
dell,Inspiron 5379,2 in 1 Convertible,13.3,8,windows 10,1.62,819.0,Full HD,1920,1080,Yes,No,No,Intel,1.6,Core i5 8250U,256,0,SSD,No,Intel,UHD Graphics 620,Mid-Range,505.55555555555554
hp,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,15.6,8,windows 10,1.91,659.0,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,256,0,SSD,No,Intel,HD Graphics 620,Mid-Range,345.0261780104712
dell,Inspiron 3567,Notebook,15.6,4,windows 10,2.3,418.64,Standard,1366,768,No,No,No,Intel,2.0,Core i3 6006U,1024,0,HDD,No,Intel,HD Graphics 520,Budget,182.01739130434783
apple,MacBook Air,Ultrabook,13.3,8,mac os x,1.35,1099.0,Standard,1440,900,No,No,No,Intel,1.6,Core i5,128,0,Flash Storage,No,Intel,HD Graphics 6000,Premium,814.074074074074
dell,Inspiron 5570,Notebook,15.6,8,windows 10,2.2,800.0,Full HD,1920,1080,No,No,No,Intel,1.6,Core i5 8250U,256,0,SSD,No,AMD,Radeon 530,Mid-Range,363.6363636363636
dell,Latitude 5590,Ultrabook,15.6,8,windows 10,1.88,1298.0,Full HD,1920,1080,No,No,No,Intel,1.9,Core i7 8650U,256,256,SSD,SSD,Intel,UHD Graphics 620,Premium,690.4255319148937
hp,ProBook 470,Notebook,17.3,8,windows 10,2.5,896.0,Full HD,1920,1080,No,No,No,Intel,1.6,Core i5 8250U,1024,0,HDD,No,Nvidia,GeForce 930MX,Mid-Range,358.4
chuwi,"LapBook 15.6""",Notebook,15.6,4,windows 10,1.89,244.99,Full HD,1920,1080,No,No,No,Intel,1.44,Atom x5-Z8300,64,0,Flash Storage,No,Intel,HD Graphics,Budget,129.62433862433863
asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),Notebook,14.0,2,windows 10,1.65,199.0,Standard,1366,768,No,No,No,AMD,1.5,E-Series E2-6110,32,0,Flash Storage,No,AMD,Radeon R2,Budget,120.60606060606061
